# Ulster pre-standardisations for the Quiggin text (original<TAB>standard)
# (arsé/arsí need no rule: the API already gives "ar sé"/"ar sí" in all contexts)
go dé	cad é
acht	ach
Leitir-Mhic-a-Bháird	Leitir Mhic an Bháird
⁊	agus
ann a	ina
